nohup: ignoring input

========================= ROUND 1 =========================
Target: 200000 IDs
-> Batch progress: 37700/200000 | Success: 35568
-> Batch progress: 37800/200000 | Success: 35662
-> Batch progress: 37900/200000 | Success: 35755
-> Batch progress: 38000/200000 | Success: 35846
-> Batch progress: 38100/200000 | Success: 35933
-> Batch progress: 38200/200000 | Success: 36022
-> Batch progress: 38300/200000 | Success: 36112
-> Batch progress: 38400/200000 | Success: 36190
-> Batch progress: 38500/200000 | Success: 36276
-> Batch progress: 38600/200000 | Success: 36369
-> Batch progress: 38700/200000 | Success: 36467
-> Batch progress: 38800/200000 | Success: 36559
-> Batch progress: 38900/200000 | Success: 36649
-> Batch progress: 39000/200000 | Success: 36742
-> Batch progress: 39100/200000 | Success: 36833
-> Batch progress: 39200/200000 | Success: 36926
-> Batch progress: 39300/200000 | Success: 37019
-> Batch progress: 39400/200000 | Success: 37111
-> Batch progress: 39500/200000 | Success: 37199
-> Batch progress: 39600/200000 | Success: 37296
-> Batch progress: 39700/200000 | Success: 37393
-> Batch progress: 39800/200000 | Success: 37482
-> Batch progress: 39900/200000 | Success: 37571
-> Batch progress: 40000/200000 | Success: 37659
-> Batch progress: 40100/200000 | Success: 37751
-> Batch progress: 40200/200000 | Success: 37843
-> Batch progress: 40300/200000 | Success: 37930
-> Batch progress: 40400/200000 | Success: 38019
-> Batch progress: 40500/200000 | Success: 38108
-> Batch progress: 40600/200000 | Success: 38197
-> Batch progress: 40700/200000 | Success: 38290
-> Batch progress: 40800/200000 | Success: 38383
-> Batch progress: 40900/200000 | Success: 38481
-> Batch progress: 41000/200000 | Success: 38577
-> Batch progress: 41100/200000 | Success: 38669
-> Batch progress: 41200/200000 | Success: 38762
-> Batch progress: 41300/200000 | Success: 38855
-> Batch progress: 41400/200000 | Success: 38953
-> Batch progress: 41500/200000 | Success: 39047
-> Batch progress: 41600/200000 | Success: 39140
-> Batch progress: 41700/200000 | Success: 39232
-> Batch progress: 41800/200000 | Success: 39323
-> Batch progress: 41900/200000 | Success: 39418
-> Batch progress: 42000/200000 | Success: 39507
-> Batch progress: 42100/200000 | Success: 39605
-> Batch progress: 42200/200000 | Success: 39702
-> Batch progress: 42300/200000 | Success: 39799
-> Batch progress: 42400/200000 | Success: 39896
-> Batch progress: 42500/200000 | Success: 39994
-> Batch progress: 42600/200000 | Success: 40084
-> Batch progress: 42700/200000 | Success: 40180
-> Batch progress: 42800/200000 | Success: 40273
-> Batch progress: 42900/200000 | Success: 40373
-> Batch progress: 43000/200000 | Success: 40472
-> Batch progress: 43100/200000 | Success: 40571
-> Batch progress: 43200/200000 | Success: 40669
-> Batch progress: 43300/200000 | Success: 40768
